id,predominant_stress,miner,rust,phoma,cercospora,severity
1137,1,1,0,0,0,1
1138,1,1,0,0,0,1
1139,1,1,0,0,0,1
1140,2,0,1,0,0,2
1141,1,1,0,0,0,1
1142,1,1,0,0,0,2
1143,1,1,0,0,1,2
1144,1,1,0,0,0,1
1145,1,1,0,0,0,1
1146,1,1,0,0,0,2
1147,1,1,0,0,0,3
1148,3,0,0,1,0,2
1149,3,0,0,1,0,1
1150,2,0,1,0,0,2
1151,0,0,0,0,0,0
1152,0,0,0,0,0,0
1153,1,1,0,0,0,1
1155,1,1,0,0,0,1
1156,0,0,0,0,0,0
1157,1,1,0,0,0,2
1158,4,1,0,0,1,1
1159,4,0,1,0,1,1
1160,1,1,0,0,0,1
1161,1,1,0,0,0,1
1162,1,1,0,0,0,3
1163,1,1,0,0,0,1
1164,0,0,0,0,0,0
1165,1,1,0,0,0,2
1166,1,1,0,0,0,2
1167,1,1,0,0,1,1
1168,2,0,1,0,0,1
1169,0,0,0,0,0,0
1170,1,1,0,0,0,1
1171,1,1,0,0,0,1
1172,1,1,0,0,0,1
1173,1,1,0,0,0,2
1174,2,0,1,0,0,1
1175,4,0,0,0,1,1
1176,1,1,0,0,0,2
1177,1,1,0,0,0,1
1178,1,1,0,0,1,1
1179,3,0,0,1,0,1
1180,0,0,0,0,0,0
1181,0,0,0,0,0,0
1182,1,1,0,0,0,1
1183,0,0,0,0,0,0
1184,0,0,0,0,0,0
1185,3,0,0,1,0,1
1187,0,0,0,0,0,0
1188,1,1,1,0,0,1
1189,1,1,0,0,0,1
1190,1,1,0,0,0,1
1191,2,1,1,0,0,2
1192,1,1,0,0,0,1
1193,0,0,0,0,0,0
1194,0,0,0,0,0,0
1195,3,0,0,1,0,2
1196,0,0,0,0,0,0
1197,1,1,0,0,0,1
1198,0,0,0,0,0,0
1199,1,1,0,0,0,2
1200,4,0,0,0,1,1
1201,0,0,0,0,0,0
1202,4,0,0,0,1,1
1203,1,1,0,0,0,1
1204,1,1,0,0,0,1
1205,4,0,0,0,1,1
1206,2,0,1,0,1,1
1207,1,1,0,0,0,2
1208,1,1,0,0,0,1
1209,2,1,1,0,0,1
1210,1,1,0,0,0,3
1211,1,1,0,0,0,1
1212,1,1,0,0,0,1
1213,1,1,0,0,0,1
1214,4,1,0,0,1,1
1215,4,0,0,0,1,1
1216,1,1,0,0,0,1
1217,1,1,0,0,0,1
1218,0,0,0,0,0,0
1219,1,1,0,0,0,1
1220,4,0,0,0,1,1
1221,4,0,0,0,1,1
1222,1,1,0,0,0,1
1223,1,1,1,0,0,2
1224,1,1,0,0,0,1
1225,1,1,1,0,0,1
1226,0,0,0,0,0,0
1227,1,1,0,0,0,1
1228,0,0,0,0,0,0
1229,0,0,0,0,0,0
1230,0,0,0,0,0,0
1231,2,0,1,0,0,1
1232,2,0,1,0,0,1
1233,2,0,1,0,0,1
1234,2,0,1,0,0,1
1235,2,0,1,0,0,1
1236,2,1,1,0,0,3
1237,2,1,1,0,0,3
1238,2,0,1,0,0,1
1239,2,0,1,0,0,2
1240,2,0,1,0,0,1
1241,2,0,1,0,0,1
1242,1,1,1,0,0,1
1243,2,1,1,0,0,3
1244,1,1,0,0,1,2
1245,2,0,1,0,0,1
1246,4,0,1,0,1,1
1247,1,1,1,0,0,1
1248,2,1,1,0,0,4
1249,4,0,0,0,1,1
1251,4,0,0,0,1,1
1252,4,0,1,0,1,1
1253,2,0,1,0,0,1
1254,2,0,1,0,1,2
1255,2,1,1,0,0,1
1256,4,0,0,0,1,1
1258,2,0,1,0,0,2
1259,2,0,1,0,0,1
1261,2,0,1,0,0,1
1262,2,0,1,0,0,4
1263,2,0,1,0,0,2
1264,2,0,1,0,0,2
1265,2,0,1,0,0,4
1266,2,0,1,0,1,2
1267,2,0,1,0,0,1
1268,2,1,1,0,0,2
1269,2,0,1,0,0,1
1270,2,0,1,0,0,1
1271,2,0,1,0,0,1
1272,2,0,1,0,0,1
1273,2,1,1,0,0,3
1274,2,0,1,0,0,1
1275,2,0,1,0,0,1
1276,2,1,1,0,0,4
1277,2,0,1,0,1,4
1278,2,0,1,0,0,1
1279,2,0,1,0,0,1
1280,2,0,1,0,0,1
1281,2,0,1,0,0,1
1282,2,1,1,0,0,2
1283,2,0,1,0,0,2
1284,2,0,1,0,0,2
1285,2,0,1,0,0,1
1286,2,1,1,0,0,1
1287,2,0,1,0,0,1
1288,2,1,1,0,0,3
1289,2,0,1,0,0,1
1290,2,0,1,0,0,1
1291,2,1,1,0,0,3
1292,2,0,1,0,0,2
1293,2,0,1,0,1,2
1294,2,0,1,0,0,2
1295,2,0,1,0,0,1
1296,2,0,1,0,0,1
1297,2,0,1,0,0,4
1298,2,0,1,0,0,1
1299,2,0,1,0,1,1
1300,2,0,1,0,1,2
1301,1,1,1,0,0,1
1302,2,0,1,0,0,1
1303,2,0,1,0,0,2
1304,2,1,1,0,0,2
1305,1,1,0,0,0,1
1306,2,0,1,0,0,2
1307,2,0,1,0,0,1
1308,2,0,1,0,0,4
1309,2,0,1,0,1,2
1310,1,1,1,0,0,1
1311,1,1,1,0,0,2
1312,1,1,1,0,0,2
1313,4,0,0,0,1,1
1315,2,0,1,0,0,3
1316,1,1,0,0,0,2
1318,2,1,1,0,0,1
1319,2,0,1,0,1,1
1320,2,1,1,0,0,4
1321,1,1,1,0,0,1
1322,1,1,0,0,0,3
1323,4,0,1,0,1,2
1324,1,1,0,0,1,1
1325,2,0,1,0,1,1
1326,2,1,1,0,0,4
1327,2,1,1,0,1,4
1328,2,0,1,0,0,1
1329,2,0,1,0,0,2
1330,2,0,1,0,1,2
1332,2,0,1,0,0,2
1333,4,0,1,0,1,1
1334,2,0,1,0,1,1
1335,2,0,1,0,1,1
1336,2,0,1,0,0,1
1337,2,0,1,0,0,1
1338,2,0,1,0,1,1
1339,2,0,1,0,0,1
1340,2,0,1,0,0,3
1341,2,0,1,0,0,2
1342,2,0,1,0,0,4
1343,1,1,1,0,0,3
1344,2,0,1,0,0,2
1345,2,0,1,0,0,1
1346,2,0,1,0,1,3
1347,2,0,1,0,0,1
1348,2,0,1,0,1,1
1349,2,0,1,0,0,1
1350,2,0,1,0,0,1
1351,1,1,0,0,0,1
1352,2,0,1,0,0,2
1353,2,0,1,0,0,1
1354,2,0,1,0,0,1
1355,2,1,1,0,0,2
1356,2,0,1,0,0,2
1357,4,0,1,0,1,1
1358,2,0,1,0,1,1
1359,2,0,1,0,0,3
1360,2,0,1,0,1,2
1361,4,0,1,0,1,2
1362,1,1,0,0,0,1
1363,2,0,1,0,0,1
1364,2,0,1,0,0,1
1365,2,0,1,0,0,1
1366,2,0,1,0,0,1
1367,2,0,1,0,0,1
1368,2,0,1,0,0,1
1369,2,0,1,0,1,1
1370,0,0,0,0,0,0
1371,2,0,1,0,0,1
1372,2,0,1,0,1,1
1373,2,0,1,0,0,1
1374,2,0,1,0,0,1
1375,2,0,1,0,0,1
1376,2,0,1,0,0,1
1377,2,0,1,0,1,1
1378,2,1,1,0,0,1
1381,2,1,1,0,0,2
1382,2,0,1,0,0,2
1383,2,0,1,0,0,1
1384,2,0,1,0,0,1
1385,2,0,1,0,0,1
1386,2,0,1,0,1,1
1387,4,0,1,0,1,1
1388,2,0,1,0,1,3
1389,2,0,1,0,0,1
1390,2,0,1,0,1,2
1391,2,0,1,0,1,2
1392,1,1,0,0,1,2
1393,4,0,1,0,1,1
1395,2,1,1,0,0,2
1396,2,0,1,0,1,3
1397,2,0,1,0,0,1
1398,2,0,1,0,0,2
1399,2,0,1,0,0,1
1400,2,0,1,0,0,1
1401,2,1,1,0,0,4
1402,2,0,1,0,1,2
1403,4,0,1,0,1,3
1404,4,0,0,0,1,1
1405,2,0,1,0,0,1
1406,2,0,1,0,0,1
1407,2,1,1,0,0,1
1408,2,0,1,0,1,1
1409,2,0,1,0,1,2
1410,4,0,0,0,1,1
1411,2,0,1,0,0,1
1412,1,1,1,0,0,1
1413,2,0,1,0,0,2
1414,2,0,1,0,1,1
1416,4,0,1,0,1,1
1417,4,0,0,0,1,1
1418,2,0,1,0,0,1
1419,2,0,1,0,0,1
1420,2,1,1,0,0,1
1421,1,1,1,0,0,1
1422,2,0,1,0,0,2
1423,2,1,1,0,0,1
1424,2,1,1,0,0,2
1425,2,0,1,0,0,2
1427,2,0,1,0,1,1
1428,2,0,1,0,0,1
1429,2,0,1,0,0,1
1430,2,0,1,0,0,1
1431,2,0,1,0,1,2
1432,2,0,1,0,0,2
1433,2,0,1,0,1,2
1434,2,0,1,0,1,1
1435,1,1,1,0,0,1
1436,2,0,1,0,0,1
1437,2,0,1,0,0,1
1438,4,0,0,0,1,1
1439,2,0,1,0,0,1
1440,2,1,1,0,0,3
1441,4,0,0,0,1,1
1442,2,0,1,0,0,3
1443,2,0,1,0,0,1
1444,4,0,0,0,1,1
1445,2,0,1,0,0,1
1446,4,0,1,0,1,1
1447,2,0,1,0,1,1
1448,2,0,1,0,0,1
1449,2,0,1,0,0,4
1451,1,1,0,0,0,1
1452,1,1,1,0,0,1
1453,4,0,0,0,1,1
1454,2,0,1,0,1,1
1455,2,0,1,0,0,2
1456,2,1,1,0,0,2
1457,2,0,1,0,0,1
1458,1,1,1,0,0,1
1459,1,1,0,0,0,1
1460,2,1,1,0,0,2
1461,2,0,1,0,0,1
1462,4,0,1,0,1,1
1463,2,0,1,0,0,1
1464,2,0,1,0,0,1
1465,2,0,1,0,1,1
1466,2,0,1,0,0,1
1467,2,0,1,0,0,1
1468,2,0,1,0,0,4
1469,4,0,1,0,1,2
1470,2,0,1,0,1,3
1472,2,0,1,0,1,2
1473,2,0,1,0,0,2
1474,2,0,1,0,0,2
1475,2,0,1,0,0,1
1476,2,0,1,0,0,4
1477,1,1,0,0,0,1
1478,4,0,0,0,1,1
1479,2,0,1,0,1,1
1480,1,1,0,0,1,1
1481,2,0,1,0,1,1
1482,1,1,0,0,0,1
1483,2,0,1,0,1,1
1484,4,0,1,0,1,1
1485,4,0,0,0,1,1
1486,2,0,1,0,0,3
1487,1,1,0,0,0,1
1488,2,1,1,0,0,1
