acc,prec,rec,fs
96.83,95.97,94.12,94.94
88.89,85.94,85.46,85.36
acc,prec,rec,fs
96.83,95.97,94.12,94.94
88.10,85.86,84.06,84.63
acc,prec,rec,fs
96.83,95.97,94.12,94.94
88.10,85.55,84.57,84.74
acc,prec,rec,fs
96.43,95.60,93.17,94.19
88.10,84.96,82.88,83.26
acc,prec,rec,fs
96.43,95.67,93.85,94.64
88.49,83.34,84.70,83.80
acc,prec,rec,fs
96.83,95.97,94.12,94.94
88.89,86.63,85.70,85.81
acc,prec,rec,fs
96.83,96.70,94.05,95.17
88.49,85.69,85.31,85.13
acc,prec,rec,fs
96.83,96.70,94.05,95.17
88.10,85.13,84.06,84.25
acc,prec,rec,fs
96.83,96.70,94.05,95.17
88.10,85.13,84.06,84.25
acc,prec,rec,fs
96.83,96.70,94.05,95.17
88.89,85.62,84.36,84.69
acc,prec,rec,fs
96.83,96.70,94.05,95.17
88.49,83.83,84.21,83.85
acc,prec,rec,fs
96.83,95.97,94.12,94.94
88.49,86.10,84.45,84.91
acc,prec,rec,fs
96.83,95.97,94.12,94.94
88.89,86.63,85.70,85.81
acc,prec,rec,fs
95.24,93.41,92.27,92.78
88.89,85.15,83.79,83.88
acc,prec,rec,fs
95.24,93.55,92.74,93.08
88.89,87.23,86.49,86.59
