acc,prec,rec,fs
99.60,99.65,98.95,99.28
95.63,94.82,92.84,93.44
acc,prec,rec,fs
96.83,95.97,94.12,94.94
88.89,86.63,85.70,85.81
acc,prec,rec,fs
96.83,95.97,94.12,94.94
88.89,86.63,85.70,85.81
acc,prec,rec,fs
96.83,95.97,94.12,94.94
88.89,86.63,85.70,85.81
acc,prec,rec,fs
96.83,95.97,94.12,94.94
88.89,86.63,85.70,85.81
acc,prec,rec,fs
96.83,95.97,94.12,94.94
88.89,86.63,85.70,85.81
acc,prec,rec,fs
98.81,99.11,97.46,98.22
96.03,95.40,93.62,94.44
acc,prec,rec,fs
96.83,95.97,94.12,94.94
88.89,86.63,85.70,85.81
