acc,prec,rec,fs
96.83,95.97,94.12,94.94
88.10,85.86,84.06,84.63
acc,prec,rec,fs
96.83,95.97,94.12,94.94
88.10,85.86,84.06,84.63
acc,prec,rec,fs
96.83,96.70,94.05,95.17
88.10,85.86,84.06,84.63
acc,prec,rec,fs
96.83,96.70,94.05,95.17
88.89,85.94,85.46,85.36
acc,prec,rec,fs
96.83,95.97,94.12,94.94
88.10,85.86,84.06,84.63
acc,prec,rec,fs
96.83,95.97,94.12,94.94
88.89,86.63,85.70,85.81
acc,prec,rec,fs
96.83,96.70,94.05,95.17
88.89,85.94,85.46,85.36
acc,prec,rec,fs
96.43,95.67,93.85,94.64
88.49,83.34,84.70,83.80
acc,prec,rec,fs
96.83,96.70,94.05,95.17
88.10,83.22,82.96,82.91
